Suggested Bundle Title,FullPrice,DiscountRate,FinalPrice,BundleType,OfferLabel
"4x NN.07 ανδρικό T-shirt με logo print Regular Fit ""Adam 3209"" Μαύρο XXL – Offer Pack",130.0,0.15000000000000002,110.5,Volume,-15%
3x Lauren Ralph Lauren γυναικείο T-shirt βαμβακερό με ριγέ σχέδιο Μαύρο S – Offer Pack,124.19999999999999,0.1,111.78,Volume,-10%
3x Yves Saint Laurent L’ Homme Eau de Toilette 40ml – Offer Pack,125.58,0.1,113.02,Volume,-10%
2x Molton Brown Orange & Bergamot Aroma Reeds 150 ml – Offer Pack,119.16666666666667,0.05,113.21,Volume,-5%
3x Shiseido Synchro Skin Self Refreshing Powder Foundation Shiseido Synchro Skin Self Refreshing Powder Foundation 220 Linen 9 gr – Offer Pack,125.82,0.1,113.24,Volume,-10%
"3x Guess γυναικείο πορτοφόλι μονόχρωμο ""Laurel"" Ταμπά ONE SIZE – Offer Pack",126.0,0.1,113.4,Volume,-10%
Guerlain Aqua Allegoria Florabloom Forte  Eau de Parfum 75ml + Guerlain KissKiss Tender Matte Guerlain KissKiss Tender Matte 910 Wanted Red,143.13877192982457,0.2,114.51,Rule-Based,-20%
3x The Bostonians ανδρικό chino παντελόνι Regular Fit Μαύρο 52 – Offer Pack,127.5,0.1,114.75,Volume,-10%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 39 + Lacoste γυναικεία midi φούστα πλισέ με καρό print Λευκό 42",136.0,0.15,115.6,Thematic,-15%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 37 + Lacoste γυναικεία midi φούστα πλισέ με καρό print Λευκό 42",136.0,0.15,115.6,Thematic,-15%
3x Hugo Boss σετ ανδρικά εσώρουχα boxer με λογότυπο (3 τεμάχια) Μαύρο M – Offer Pack,128.85000000000002,0.1,115.97,Volume,-10%
Gant ανδρικό καρό πουκάμισο με μία τσέπη Oxford Regular fit Μπλε L + Paul&Shark ανδρικό T-shirt με logo print στο πλάι Regular Fit Μαύρο XL,138.30933333333334,0.15,117.56,Thematic,-15%
"Kentia αδιάβροχο επίστρωμα  ""Cotton Cover"" 100 x 200 cm + Armani My Way Eau de Parfum 90ml",138.334,0.15,117.58,Thematic,-15%
Guy Laroche αδιάβροχο προστατευτικό επίστρωμα 100 χ 200 cm + Armani My Way Eau de Parfum 90ml,138.524,0.15,117.75,Thematic,-15%
"Converse γυναικεία sneakers ""Chuck Taylor All Star Lift Platform'' Φούξια 37 + Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 39",139.0,0.15,118.15,Thematic,-15%
"Converse γυναικεία sneakers ""Chuck Taylor All Star Lift Platform'' Φούξια 37 + Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 37",139.0,0.15,118.15,Thematic,-15%
"Lacoste ανδρικά δερμάτινα sneakers μονόχρωμα με ανάγλυφη λεπτομέρεια στο πλάι ""Carnaby Evo"" Nude 43 + Lacoste γυναικεία midi φούστα πλισέ με καρό print Λευκό 42",140.0,0.15,119.0,Thematic,-15%
"Gant γυναικεία παπούτσια πάνινα slip on Ροζ 36 + Lacoste γυναικεία δερμάτινα sneakers ""Powercourt"" Λευκό 39",140.155,0.15,119.13,Thematic,-15%
Gant ανδρικό πουκάμισο button down με καρό σχέδιο και τσέπη με λογότυπο Regular Fit Κόκκινο L + Paul&Shark ανδρικό T-shirt με logo print στο πλάι Regular Fit Μαύρο XL,140.82583333333335,0.15,119.7,Thematic,-15%
3x Colors Of California γυναικεία suede σανδάλια μονόχρωμα Μπεζ 39 – Offer Pack,133.35000000000002,0.1,120.02,Volume,-10%
4x Clarins Men Energizing Gel 50 ml – Offer Pack,141.36,0.15000000000000002,120.16,Volume,-15%
3x Sarah Lawrence γυναικείο παντελόνι μονόχρωμο πεντάτσεπο με κεντημένο μονόγραμμα Μαύρο 31 – Offer Pack,134.91,0.1,121.42,Volume,-10%
3x Gant ανδρικό λινό πουκάμισο μονόχρωμο με γιακά μάο και τσέπη μπροστά Μπεζ XL – Offer Pack,135.0,0.1,121.5,Volume,-10%
3x Molton Brown Coastal Cypress & Sea Fennel Infinite Bottle 400 ml – Offer Pack,135.0,0.1,121.5,Volume,-10%
"Lacoste ανδρικά δερμάτινα sneakers μονόχρωμα με ανάγλυφη λεπτομέρεια στο πλάι ""Carnaby Evo"" Nude 43 + Converse γυναικεία sneakers ""Chuck Taylor All Star Lift Platform'' Φούξια 37",143.0,0.15,121.55,Thematic,-15%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 37 + BCBGMAXAZRIA γυναικεία σατέν παντελόνα με ελαστική μέση Σομον 44",148.0,0.15,125.8,Thematic,-15%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 39 + BCBGMAXAZRIA γυναικεία σατέν παντελόνα με ελαστική μέση Σομον 44",148.0,0.15,125.8,Thematic,-15%
Clarins Double Serum Eye 20 ml + Clarins Nutri-Lumiere Day Cream Emulsion 50 ml,158.1852380952381,0.2,126.55,Rule-Based,-20%
4x Juliette Has A Gun Not A Room Spray 200 ml – Offer Pack,150.0,0.15000000000000002,127.5,Volume,-15%
Lacoste unisex T-shirt πικέ με λογότυπο Regular Fit Λευκό XXL + Paul&Shark ανδρικό T-shirt με logo print στο πλάι Regular Fit Μαύρο XL,151.61333333333334,0.15,128.87,Thematic,-15%
"Lacoste ανδρικά δερμάτινα sneakers μονόχρωμα με ανάγλυφη λεπτομέρεια στο πλάι ""Carnaby Evo"" Nude 43 + BCBGMAXAZRIA γυναικεία σατέν παντελόνα με ελαστική μέση Σομον 44",152.0,0.15,129.2,Thematic,-15%
Lacoste ανδρική μακρυμάνικη μπλούζα μονόχρωμη με κεντημένο λογότυπο Regular Fit  Μαύρο L + Paul&Shark ανδρικό T-shirt με logo print στο πλάι Regular Fit Μαύρο XL,152.21333333333334,0.15,129.38,Thematic,-15%
3x Armani Exchange ανδρικό T-shirt με logo print Slim Fit Λευκό M – Offer Pack,144.89999999999998,0.1,130.41,Volume,-10%
"Ugg σετ καθαρισμού παπουτσιών ""Care Kit"" Λευκό ONE SIZE + Ugg γυναικεία πέδιλα ""GoldenGlow"" Μαύρο 40",164.90833333333333,0.2,131.93,Rule-Based,-20%
"Ugg σετ καθαρισμού παπουτσιών ""Care Kit"" Λευκό ONE SIZE + Ugg γυναικεία πέδιλα ""GoldenGlow"" Μαύρο 37",164.90833333333333,0.2,131.93,Rule-Based,-20%
3x Guess γυναικείο τζην παντελόνι ψηλόμεσο πεντάτσεπο Slim Fit Denim Blue Ανοιχτό 26W 29L – Offer Pack,148.5,0.1,133.65,Volume,-10%
"3x DOWN TOWN Home σετ πετσέτες ""New Rosa"" (3 τεμάχια) – Offer Pack",148.8,0.1,133.92,Volume,-10%
2x Dior Sauvage Eau de Toilette 60ml – Offer Pack,141.472,0.05,134.4,Volume,-5%
"3x Maxwell & Williams σετ πορσελάνινα πιάτα φαγητού με floral print ""Capri"" (12 τεμάχια) – Offer Pack",149.85000000000002,0.1,134.87,Volume,-10%
"3x Hugo Boss ανδρική βαμβακερή μπλούζα φούτερ μονόχρωμη με διακριτικό contrast logo print ""Dapo"" Μαύρο M – Offer Pack",149.91,0.1,134.92,Volume,-10%
3x Gant ανδρικό πουκάμισο button down με ψιλό ριγέ σχέδιο και τσέπη με λογότυπο Regular Fit Μπλε L – Offer Pack,150.3342857142857,0.1,135.3,Volume,-10%
3x Versace Dreamer EdT 50ml – Offer Pack,150.99,0.1,135.89,Volume,-10%
"Gant γυναικεία παπούτσια πάνινα slip on Ροζ 36 + Guess γυναικεία sneakers μονόχρωμα με ανάγλυφο λογότυπο ""Brecky 4"" Λευκό 40",160.0,0.15,136.0,Thematic,-15%
3x The Bostonians ανδρικό τζιν παντελόνι πεντάτσεπο Regular Fit Μαύρο 54 – Offer Pack,153.0,0.1,137.7,Volume,-10%
4x L'Occitane Artichoke Body Scrub 200 ml – Offer Pack,162.0,0.15000000000000002,137.7,Volume,-15%
Armani My Way Eau de Parfum 90ml + Sensai Cellular Performance Lotion I (Light) 125 ml,162.15844444444446,0.15,137.83,Thematic,-15%
"Hugo Boss ανδρικό μαγιό σορτς με all-over handwritten logo ""Marco"" Μπλε Σκούρο L + Paul&Shark ανδρικό T-shirt με logo print στο πλάι Regular Fit Μαύρο XL",162.56333333333333,0.15,138.18,Thematic,-15%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 37 + Lacoste γυναικεία δερμάτινα sneakers ""Powercourt"" Λευκό 39",164.155,0.15,139.53,Thematic,-15%
"Lacoste γυναικεία δερμάτινα sneakers ""Powercourt"" Λευκό 39 + Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 39",164.155,0.15,139.53,Thematic,-15%
3x Adolfo Domínguez γυναικεία μπλούζα με ρίγα Μαύρο XS – Offer Pack,156.0,0.1,140.4,Volume,-10%
Estée Lauder Revitalizing Supreme+ Night Power Bounce Crème 50 ml + Estée Lauder Beautiful Belle Eau de Parfum Spray 50ml,165.614406779661,0.15,140.77,Clearance,-15%
3x Mugler Angel In A Body Lotion 200 ml – Offer Pack,157.2,0.1,141.48,Volume,-10%
2x Estée Lauder Bronze Goddess Eau Fraiche 100ml – Offer Pack,149.05714285714285,0.05,141.6,Volume,-5%
3x Gant ανδρικό chino παντελόνι Slim Fit (34L) Μπεζ 36 – Offer Pack,157.5,0.1,141.75,Volume,-10%
"Converse γυναικεία sneakers ""Chuck Taylor All Star Lift Platform'' Φούξια 37 + Lacoste γυναικεία midi φούστα πλισέ με καρό print Λευκό 42",167.0,0.15,141.95,Thematic,-15%
3x Mugler A*Men Eau de Toilette Refill 100 ml – Offer Pack,157.74,0.1,141.97,Volume,-10%
"Lacoste ανδρικά δερμάτινα sneakers μονόχρωμα με ανάγλυφη λεπτομέρεια στο πλάι ""Carnaby Evo"" Nude 43 + Lacoste γυναικεία δερμάτινα sneakers ""Powercourt"" Λευκό 39",168.155,0.15,142.93,Thematic,-15%
Armani My Way Eau de Parfum 90ml + Sensai Absolute Silk Micro Mousse Wash 180 ml,168.52733333333333,0.15,143.25,Thematic,-15%
Estée Lauder Advanced Night Repair Synchronized Multi-Recovery Complex 50ml + Estée Lauder Beautiful Belle Eau de Parfum Spray 50ml,168.7532075471698,0.15,143.44,Clearance,-15%
2x Bvlgari Man in Black Eau de Parfum Bvlgari Man in Black Eau de Parfum 100 ml – Offer Pack,152.38444444444445,0.05,144.77,Volume,-5%
Bvlgari Splendida Jasmin Noir EdP Bvlgari Splendida Jasmin Noir EdP 100 ml + Bvlgari Rose Goldea Blossom Delight Eau de Parfum Bvlgari Rose Goldea Blossom Delight Eau de Parfum 75 ml,181.92333333333335,0.2,145.54,Rule-Based,-20%
3x Nautica σετ ανδρικά εσώρουχα boxer με λογότυπο στο λάστιχο (3 τεμάχια) Λευκό XL – Offer Pack,162.0,0.1,145.8,Volume,-10%
"3x Forét ανδρικό πουκάμισο button down με ριγέ σχέδιο και τσέπη Regular Fit ""Lotus"" Πράσινο XL – Offer Pack",162.0,0.1,145.8,Volume,-10%
3x Dirty Laundry ανδρικό T-shirt reglan Regular Fit Μαύρο XL – Offer Pack,162.0,0.1,145.8,Volume,-10%
3x Armani Exchange σετ ανδρικά εσώρουχα boxer με λογότυπο (3 τεμάχια) Μαύρο XL – Offer Pack,162.0,0.1,145.8,Volume,-10%
Bvlgari Splendida Jasmin Noir EdP Bvlgari Splendida Jasmin Noir EdP 100 ml + Bvlgari Man Glacial Essence Set,183.65,0.2,146.92,Rule-Based,-20%
2x Dior Diorshow Set - Limited Edition Lash Primer-Serum and Volume Mascara – Offer Pack,154.816,0.05,147.08,Volume,-5%
3x DOWN TOWN Home μαξιλαροθήκη μονόχρωμη μεταξένια 50 x 76 cm – Offer Pack,165.0,0.1,148.5,Volume,-10%
"Gant γυναικεία παπούτσια πάνινα slip on Ροζ 36 + Ugg γυναικεία mules suede ""Spring Cottage Clog"" Ταμπά 39",175.0,0.15,148.75,Thematic,-15%
3x Moschino Funny EdT 100ml – Offer Pack,165.42000000000002,0.1,148.88,Volume,-10%
