Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
"Ugg σετ καθαρισμού παπουτσιών ""Care Kit"" Λευκό ONE SIZE + Ugg γυναικεία πέδιλα ""GoldenGlow"" Μαύρο 37",9-4637000132|ED5126|1,9-4637000126|EE5936|6,131.93,0,0,0.0
"Ugg σετ καθαρισμού παπουτσιών ""Care Kit"" Λευκό ONE SIZE + Ugg γυναικεία mules suede ""Spring Cottage Clog"" Ταμπά 39",9-4637000132|ED5126|1,9-4637000120|EB2039|8,159.93,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 06 Candy Rose + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001468,9-4896003454,22.02,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 06 Candy Rose + Kiko Milano Pure Clean Toner 200 ml,9-4896001468,9-4896003805,14.13,0,0,0.0
"Lancôme Hypnôse Drama - Extreme Volume Mascara 8 ml Excessive Black + Lancôme Hypnôse Volume-À-Porter Mascara 01 Noir Intense 6,5 gr.",900278504279,959278501958,50.16,0,0,0.0
Kiko Milano Long Lasting Colour Lip Marker 106 Apple Red + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896002368,9-4896003454,21.91,0,0,0.0
Kiko Milano Long Lasting Colour Lip Marker 106 Apple Red + Kiko Milano Pure Clean Toner 200 ml,9-4896002368,9-4896003805,14.02,0,0,0.0
Shiseido UV Protective Compact Foundation SPF30 12 gr Medium Beige + Shiseido Essential Energy Hydrating Day Cream Spf20 50 ml,1084783,1059574,83.11,3,0,0.0
Kiko Milano Long Lasting Colour Lip Marker 106 Apple Red + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896002368,9-4896004057,15.53,0,0,0.0
Kiko Milano Sculpting Touch Creamy Stick Contour 200 Hazelnut + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896004162,9-4896004057,13.87,0,0,0.0
"Kiko Milano Create Your Balance Nourishing Lip Balm 3,5 g + Kiko Milano Pure Clean Toner 200 ml",9-4896003858,9-4896003805,8.21,0,0,0.0
Kiko Milano Sculpting Touch Creamy Stick Contour 200 Hazelnut + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896004162,9-4896003454,20.26,0,0,0.0
Kiko Milano Sculpting Touch Creamy Stick Contour 200 Hazelnut + Kiko Milano Pure Clean Toner 200 ml,9-4896004162,9-4896003805,12.37,0,0,0.0
"Kiko Milano Create Your Balance Nourishing Lip Balm 3,5 g + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose",9-4896003858,9-4896004057,9.72,0,0,0.0
"Kiko Milano Create Your Balance Nourishing Lip Balm 3,5 g + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory",9-4896003858,9-4896003454,16.1,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 06 Candy Rose + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001468,9-4896004057,15.64,0,0,0.0
Shiseido UV Protective Compact Foundation SPF30 12 gr Medium Beige + Shiseido Synchro Skin Self Refreshing Cushion Compact Shiseido Synchro Skin Self Refreshing Cushion Compact 230 Alder 13 gr,1084783,1054594,68.73,0,0,0.0
Kiko Milano Standout Volume Buildable Mascara 11.5 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896000575,9-4896004057,9.46,0,0,0.0
