Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Bvlgari Splendida Jasmin Noir EdP Bvlgari Splendida Jasmin Noir EdP 100 ml + Bvlgari Omnia Crystalline Eau de Toilette Bvlgari Omnia Crystalline Eau de Toilette 30 ml,1049600,1082635,105.28,0,0,0.0
Bvlgari Splendida Jasmin Noir EdP Bvlgari Splendida Jasmin Noir EdP 100 ml + Bvlgari Man Glacial Essence Set,1049600,1082942,146.92,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 03 Pearly Apricot + Kiko Milano Pure Clean Toner 200 ml,9-4896001466,9-4896003805,14.02,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 03 Pearly Apricot + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001466,9-4896003454,21.91,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 03 Pearly Apricot + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001466,9-4896004057,15.53,0,0,0.0
Uv Protective Compact Foundation (SPF30) Medium Ochre + Bio-Performance Advanced Super Revitalizing Cream Shiseido Bio-Performance Advanced Super Revitalizing Cream 50 ml,1054061,1053922,151.78,0,0,0.0
Uv Protective Compact Foundation (SPF30) Medium Ochre + Uv Protective Compact Foundation (SPF30) Shiseido Uv Protective Compact Foundation  (SPF30) Dark Ivory  Sp70 12 gr,1054061,1054063,72.18,0,0,0.0
Uv Protective Compact Foundation (SPF30) Medium Ochre + Uv Protective Compact Foundation (SPF30) Shiseido Uv Protective Compact Foundation (SPF30) Medium Ivory Sp50 12 gr,1054061,1054060,61.12,0,0,0.0
Yves Rocher Body & Hair Mist Monoï 125 ml + Yves Rocher Relaxing Bath and Shower Gel Cotton Flower Mimosa Yves Rocher Relaxing Bath and Shower Gel Cotton Flower Mimosa 400 ml ,1084121,1051046,18.51,0,0,0.0
Yves Rocher Body & Hair Mist Monoï 125 ml + Yves Rocher Sensual Shower Gel Tiaré Flower Ylang Ylang 400 ml ,1084121,1048780,19.35,0,0,0.0
Yves Rocher Body & Hair Mist Monoï 125 ml + Yves Rocher Frozen Lychee Bath & Shower Gel 400 ml,1084121,1082937,17.57,0,0,0.0
